"d.convenio.df.tipo_de_abogado","d.convenio.df.giro_empresa","d.convenio.df.trab_base","d.convenio.df.acci_on_principal","d.convenio.df.causa","d.convenio.df.sueldo_diario_integrado","d.convenio.df.gen","d.convenio.df.horas","d.convenio.df.reinstalacion_t","d.convenio.df.indem_const_t","d.convenio.df.sal_caidos_t","d.convenio.df.rec_hr_extra","d.convenio.df.rec_20_d_ias_t","d.convenio.df.sarimssinfo","d.convenio.df.cod_imss","d.convenio.df.antig_anos","d.convenio.df.y","d.convenio.df.id"
"0","1","0","2","0",432.84,"1",60,"0","1","1","1","0","1","0",8.64109589041096,2.16986301369863,380
"0","2","0","1","0",2058.8,"0",84,"1","1","1","1","1","1","0",1.3972602739726,0.479452054794521,383
"1","1","0","2","0",190.87,"1",48,"0","1","1","0","0","1","0",0.545205479452055,0.427397260273973,384
"0","1","0","2","0",1245.3,"1",66,"0","1","1","1","0","0","0",11.6493150684932,2.71232876712329,386
"0","1","0","2","0",666.66,"0",91,"0","1","1","1","0","1","0",2.86575342465753,1.12054794520548,388
"0","2","0","2","0",370.106,"0",48,"0","1","1","1","0","0","0",5.3013698630137,2.33698630136986,389
"0","2","0","2","0",450,"0",66,"0","1","1","1","0","1","0",0.915068493150685,2.05205479452055,390
"0","1","0","2","0",250,"0",63,"0","1","1","1","0","0","0",0.73972602739726,0.463013698630137,391
"0","2","0","2","0",242.85,"0",91,"0","1","1","1","0","1","0",0.794520547945205,0.153424657534247,393
"0","2","0","2","0",220,"1",48,"0","1","1","1","0","0","0",2.69315068493151,0.687671232876712,394
"0","1","0","2","0",500,"0",66,"0","1","1","1","0","0","0",0.767123287671233,0.720547945205479,395
"0","3","0","1","0",445.99,"0",54,"1","0","1","1","0","1","0",6.62465753424657,0.208219178082192,398
"1","3","0","2","0",139.89,"0",57,"0","1","1","0","0","0","0",2.26849315068493,0.586301369863014,399
"0","1","0","2","0",376.190476190476,"0",60,"0","1","1","1","0","1","0",4.73972602739726,0.241095890410959,401
"0","2","0","1","0",353.333333333333,"0",55,"1","0","1","1","0","0","0",8.21917808219178,0.786301369863014,402
"0","3","0","1","0",266.66,"1",66,"1","1","1","1","1","1","0",1.47123287671233,1.88219178082192,404
"0","5","0","1","0",183.333333333333,"1",72,"1","1","1","1","1","0","0",5.47397260273973,0.156164383561644,405
"0","3","0","2","0",199.66,"1",51,"0","1","1","0","0","1","0",3.40821917808219,1.60547945205479,406
"1","2","0","2","0",182.08,"0",49,"0","1","1","0","0","0","0",3.3013698630137,1.56712328767123,407
"0","1","1","1","0",623.26,"0",60,"1","1","1","1","1","1","0",0.473972602739726,0.547945205479452,408
"0","2","0","2","0",163.966666666667,"1",72,"0","1","1","1","0","0","0",5.77808219178082,0.786301369863014,409
"1","3","0","2","0",121.92,"1",36,"0","1","1","0","0","1","0",0.616438356164384,0.49041095890411,410
"0","1","0","2","0",301.76,"1",40,"0","1","1","0","0","1","0",1.58630136986301,0.504109589041096,412
"0","6","0","1","0",320,"0",97.5,"1","0","1","1","0","0","0",0.728767123287671,0.978082191780822,413
"0","5","0","2","0",113.333333333333,"0",50,"0","1","1","1","0","1","0",1.72328767123288,0.142465753424658,415
"1","1","0","2","0",66,"0",48,"0","1","1","0","0","0","0",0.156164383561644,1.76986301369863,418
"0","6","0","1","0",1036.36,"0",66,"1","1","1","1","1","1","0",5.46027397260274,2.21917808219178,419
"0","2","0","2","0",500,"1",60,"0","1","1","1","0","1","0",4.37260273972603,0.504109589041096,421
"0","1","0","2","0",209.75,"0",55.5,"0","1","1","1","0","0","0",0.336986301369863,0.893150684931507,425
"0","10","0","2","0",206.6,"1",54,"0","1","1","1","0","1","0",2.27397260273973,0.306849315068493,426
