"lt_convenio_train.id","lt_convenio_train.antig_anos","lt_convenio_train.horas","lt_convenio_train.sueldo_diario_integrado","lt_convenio_train.tipo_de_abogado","lt_convenio_train.trab_base","lt_convenio_train.gen","lt_convenio_train.reinstalacion_t","lt_convenio_train.indem_const_t","lt_convenio_train.sal_caidos_t","lt_convenio_train.rec_hr_extra","lt_convenio_train.rec_20_d_ias_t","lt_convenio_train.sarimssinfo","lt_convenio_train.cod_imss","lt_convenio_train.y"
1197,-0.724421846155322,0.598852577032221,-0.132653271364715,"0","0","1","0","1","1","1","0","0","0",7000
1267,-0.718975393291283,1.46334984874233,-0.266034404838287,"0","0","1","0","1","1","1","0","1","0",8000
410,-0.655433443210829,-1.75886725490444,-0.741084649817761,"1","0","1","0","1","1","0","0","1","0",20000
821,-0.613677304586531,-0.815779322129776,-0.522259562241019,"0","0","1","0","1","1","0","0","1","0",50000
2007,-0.367376602846106,-1.52309527171077,-0.689226065123237,"0","0","0","1","0","1","0","0","0","0",10000
553,-0.642119891765401,0.127308610644889,1.60130146379172,"0","0","1","0","1","1","1","0","1","0",42000
1370,-0.369797248563457,-0.58000733893611,-0.304143300116451,"0","0","0","1","1","1","1","1","1","0",12000
2032,-0.548925031647402,0.127308610644889,1.06777692989743,"0","0","1","0","1","1","1","0","1","0",300000
578,1.54190770671419,0.284489932773999,-0.264620564823467,"0","0","1","1","1","1","1","0","0","0",34000
334,-0.100500412508201,2.01348447619422,-0.824074391065018,"1","0","0","0","1","1","0","0","0","0",6000
589,-0.0430100767211239,-0.265644694677888,-0.208893927258209,"0","0","0","0","1","1","1","1","0","0",27000
932,-0.46964888440417,-1.05155130532344,0.0896486177579049,"0","0","0","1","0","1","0","0","0","0",26542.33
19,-0.740156043318101,0.127308610644889,0.0164935120854332,"0","0","1","0","1","1","1","1","1","1",30000
907,0.483480366802635,0.598852577032221,1.6937612655156,"0","0","0","1","0","1","1","0","1","0",45000
1491,-0.666931510368245,0.598852577032221,0.267490129056001,"0","0","0","0","1","1","1","0","0","0",2000
1139,-0.408527580041067,0.284489932773999,-0.0961601932463459,"0","0","1","0","1","0","1","1","0","0",18500
1014,-0.465412754398806,0.127308610644889,0.233397911340156,"0","0","1","0","1","1","1","0","1","0",10000
286,6.30271267131351,0.127308610644889,-0.549549342149712,"0","0","0","1","1","1","1","1","1","0",78000
418,-0.757100563339555,-0.815779322129776,-0.890258109494605,"1","0","0","0","1","1","0","0","0","0",4500
1661,1.06261985467877,-0.265644694677888,-0.203078509838761,"1","0","1","0","1","1","0","0","0","0",20000
261,1.92013360005022,0.127308610644889,0.0451704557822512,"0","0","0","0","1","1","1","0","1","0",23000
419,0.414491963858142,0.598852577032221,1.6982962240537,"0","0","0","1","1","1","1","1","1","0",190000
731,1.37548831364634,0.598852577032221,-0.532796671785431,"0","0","0","0","1","1","1","0","0","0",27500
1108,-0.42063080862782,-1.44450461064622,-0.444765123692874,"0","0","0","0","1","1","1","0","0","0",15000
657,-0.577367618826272,0.127308610644889,0.712076123150111,"0","1","0","0","1","1","1","0","0","0",14000
635,0.0961770520265364,0.323785263306277,-0.283694066910188,"1","1","0","0","1","1","0","0","0","0",39143.9
1061,0.108885442042627,-1.44450461064622,-0.354972944638465,"0","0","1","0","1","1","1","0","1","0",11000
452,-0.507168893023104,-0.265644694677888,0.000727862108856885,"0","0","1","0","1","1","0","0","1","0",27250
1653,-0.484777920137611,1.07039654341955,0.801014662950289,"0","0","0","1","0","1","1","0","1","0",11000
2215,3.47660879630667,-0.344235355742444,1.77915186716538,"0","0","0","1","1","1","1","1","1","0",80000
393,-0.616097950303882,2.56361910364611,-0.41848904039858,"0","0","0","0","1","1","1","0","1","0",16500
738,1.79789099132402,-0.658598000000665,-0.621735211585609,"0","0","1","0","1","1","0","0","1","0",11666.67
807,-0.607625690293155,-1.24802795798483,-0.742338432472413,"1","0","1","0","1","1","0","0","1","0",14000
1107,0.972450801707459,-0.658598000000665,0.197865177382796,"1","0","1","0","1","1","1","0","0","0",38000
