"estandarizados_duracion_desiste.id","estandarizados_duracion_desiste.antig_anos","estandarizados_duracion_desiste.horas","estandarizados_duracion_desiste.sueldo_diario_integrado","estandarizados_duracion_desiste.tipo_de_abogado","estandarizados_duracion_desiste.trab_base","estandarizados_duracion_desiste.gen","estandarizados_duracion_desiste.reinstalacion_t","estandarizados_duracion_desiste.indem_const_t","estandarizados_duracion_desiste.rec_hr_extra","estandarizados_duracion_desiste.rec_20_d_ias_t","estandarizados_duracion_desiste.sarimssinfo","estandarizados_duracion_desiste.cod_imss","estandarizados_duracion_desiste.y"
917,-0.398883921112043,0.813688320786502,-0.0638649536358961,"0","0","1","1","1","1","1","0","0",1.41095890410959
918,3.46572636465741,-0.408302700023124,-0.0811630990373377,"0","0","0","0","1","1","0","1","0",0.824657534246575
925,-0.502152027412152,0.813688320786502,-0.216504754480259,"0","0","0","0","1","0","0","1","0",0.786301369863014
928,0.0787310705259597,0.202692810381689,-0.134867477961383,"0","0","1","1","1","1","1","1","0",0.997260273972603
937,-0.716135459216704,0.406357980516627,-0.223806836458691,"0","0","0","0","1","1","0","1","0",0.668493150684932
945,-0.709184721292659,2.10356773164111,0.0786074282616971,"0","1","0","0","1","1","0","1","0",0.435616438356164
946,0.490314051885528,-1.35874016065283,-0.234029751228497,"0","1","1","0","1","0","0","1","0",2.09041095890411
949,0.458539249947033,0.677911540696544,-0.212004481356951,"1","0","0","0","1","0","0","0","0",1.54246575342466
956,-0.700248058247457,-1.35874016065283,-0.226433614408793,"0","0","0","1","0","1","0","1","0",0.336986301369863
969,-0.638187898211334,-0.815633040292999,-0.208503133048293,"1","0","1","0","1","0","0","1","0",0.857534246575342
975,-0.651096411498847,-0.67985626020304,-0.17999653521269,"0","0","1","0","1","1","1","0","0",1.65753424657534
977,0.965446637122086,1.1531302710114,-0.132194185749079,"0","0","0","0","1","1","0","0","0",1.57808219178082
981,0.487831645484083,0.813688320786502,-0.238415381664744,"0","0","0","1","0","1","0","1","0",0.328767123287671
