"estandarizados_duracion_convenio.id","estandarizados_duracion_convenio.antig_anos","estandarizados_duracion_convenio.horas","estandarizados_duracion_convenio.sueldo_diario_integrado","estandarizados_duracion_convenio.tipo_de_abogado","estandarizados_duracion_convenio.trab_base","estandarizados_duracion_convenio.gen","estandarizados_duracion_convenio.reinstalacion_t","estandarizados_duracion_convenio.indem_const_t","estandarizados_duracion_convenio.sal_caidos_t","estandarizados_duracion_convenio.rec_hr_extra","estandarizados_duracion_convenio.rec_20_d_ias_t","estandarizados_duracion_convenio.sarimssinfo","estandarizados_duracion_convenio.cod_imss","estandarizados_duracion_convenio.y"
344,-0.505692263357785,1.06633243558808,0.0137942054479789,"0","0","0","1","1","1","1","1","0","0",1.44657534246575
345,0.780104543787271,-0.462471871104721,-0.333855980275234,"0","0","0","0","1","1","1","0","1","0",1.8
346,1.62749185302641,-0.188071098108577,0.225677026371871,"0","0","0","1","1","1","1","1","0","0",0.191780821917808
348,-0.148833063663735,0.125529785315588,0.121357313268173,"0","0","1","0","1","1","1","0","0","0",0.191780821917808
364,1.32643022579311,0.125529785315588,-0.14960839971354,"0","0","0","0","1","1","1","0","1","0",0.717808219178082
368,-0.557197714860019,0.360730447883712,-0.637331509304172,"0","0","1","0","1","1","1","0","0","0",0.180821917808219
369,-0.703742987586613,1.06633243558808,0.469083367873643,"0","0","0","0","1","1","1","0","0","0",0.438356164383562
370,-0.565168796640127,-0.658472423244824,0.364023933167938,"1","0","0","0","1","1","1","0","0","0",2.36986301369863
371,-0.569460917598646,0.360730447883712,-0.545795702860819,"1","0","0","0","1","1","0","0","0","0",0.153424657534247
372,-0.660821778001418,0.909531993876,1.38583868422208,"0","0","1","1","1","1","1","1","1","0",1.13972602739726
373,0.0964309911088079,-1.05047352752503,-0.352823200839543,"0","0","0","0","1","1","0","0","1","0",0.468493150684932
374,-0.629550611017919,-0.658472423244824,-0.38443523511339,"0","0","1","0","1","1","1","0","0","0",2.5972602739726
375,-0.692092944984917,-0.952473251454979,0.120598624445601,"1","1","1","0","1","1","0","0","0","0",0.756164383561644
376,-0.438857808432267,-0.854472975384927,0.18632004370093,"0","0","0","1","0","1","1","0","1","0",1.54520547945205
378,-0.620353208963949,-0.344871539820659,-0.574107440756477,"0","0","1","0","1","1","1","0","0","0",0.441095890410959
379,0.167557566992845,-0.854472975384927,-0.510883372208781,"0","0","1","0","1","1","1","0","1","0",2.70684931506849
380,1.13573742320746,0.125529785315588,-0.0060265400417237,"0","0","1","0","1","1","1","0","1","0",2.16986301369863
383,-0.48545797883905,2.00713508586058,3.0779676548326,"0","0","0","1","1","1","1","1","1","0",0.479452054794521
384,-0.676150781424702,-0.815272864956907,-0.464976376036299,"1","0","1","0","1","1","0","0","1","0",0.427397260273973
386,1.80898725355809,0.595931110451835,1.53498426192609,"0","0","1","0","1","1","1","0","0","0",2.71232876712329
388,-0.156804145443843,2.55593663185287,0.437465011192941,"0","0","0","0","1","1","1","0","1","0",1.12054794520548
389,0.388295216288134,-0.815272864956907,-0.125015501529857,"0","0","0","0","1","1","1","0","0","0",2.33698630136986
390,-0.593374162938969,0.595931110451835,0.0265212104466299,"0","0","0","0","1","1","1","0","1","0",2.05205479452055
391,-0.632616411702576,0.360730447883712,-0.352823200839543,"0","0","0","0","1","1","1","0","0","0",0.463013698630137
393,-0.620353208963949,2.55593663185287,-0.366384763543023,"0","0","0","0","1","1","1","0","1","0",0.153424657534247
394,-0.195433234070518,-0.815272864956907,-0.409724862532468,"0","0","1","0","1","1","1","0","0","0",0.687671232876712
395,-0.626484810333262,0.595931110451835,0.121357313268173,"0","0","0","0","1","1","1","0","0","0",0.720547945205479
398,0.684451562425979,-0.344871539820659,0.0189153550003422,"0","0","0","1","0","1","1","0","1","0",0.208219178082192
399,-0.290473055294878,-0.109670877252536,-0.561671266473145,"1","0","0","0","1","1","0","0","0","0",0.586301369863014
401,0.262597388217206,0.125529785315588,-0.113474941337553,"0","0","0","0","1","1","1","0","1","0",0.241095890410959
402,1.04131076212003,-0.266471318964618,-0.156828588341687,"0","0","0","1","0","1","1","0","0","0",0.786301369863014
404,-0.468902655141903,0.595931110451835,-0.321223811379404,"0","0","1","1","1","1","1","1","1","0",1.88219178082192
405,0.42692430491481,1.06633243558808,-0.479271337934933,"0","0","1","1","1","1","1","1","0","0",0.156164383561644
406,-0.0353984383314338,-0.580072202388783,-0.448304189160272,"0","0","1","0","1","1","0","0","1","0",1.60547945205479
